evidence_block,grain,item,item_2,item_3,rank_label,rank_value,users,reviews,businesses,avg_user_stars,avg_review_stars,avg_business_stars,elite_review_rate_pct,long_review_rate_pct,share_pct,notes
user_tenure_baseline,yelping_since_year,2009,,,user_join_year_order,2009,7933,56558,9734,3.7321,3.7447,3.7703,40.0368,23.4962,17.5153,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2012,,,user_join_year_order,2012,14114,40129,9591,3.7573,3.7828,3.7823,10.3367,13.636,12.4275,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2007,,,user_join_year_order,2007,2345,21789,6150,3.7578,3.7492,3.737,62.9354,32.186,6.7478,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2011,,,user_join_year_order,2011,16564,64044,11133,3.7762,3.8078,3.7915,15.8984,15.9625,19.8336,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2004,,,user_join_year_order,2004,18,42,39,3.7262,3.7857,3.7857,80.9524,7.1429,0.013,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2008,,,user_join_year_order,2008,4561,39128,8147,3.7629,3.7717,3.7739,50.5163,26.4593,12.1175,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2006,,,user_join_year_order,2006,855,7509,3384,3.7479,3.7704,3.7101,70.3156,31.5488,2.3254,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2010,,,user_join_year_order,2010,12460,66595,10761,3.7874,3.7984,3.7792,26.7558,20.6082,20.6236,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2014,,,user_join_year_order,2014,546,815,726,3.762,3.8221,3.8883,0.0,8.3436,0.2524,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2013,,,user_join_year_order,2013,11243,25038,7885,3.7595,3.784,3.8039,2.9915,10.9993,7.754,review contribution by reviewer join year
user_tenure_baseline,yelping_since_year,2005,,,user_join_year_order,2005,178,1259,915,3.8606,3.8094,3.7327,82.5258,26.9261,0.3899,review contribution by reviewer join year
reviewer_activity_rating,user_review_count_label,High,,,review_count_label_order,3,6187,84983,11337,3.7768,3.7832,3.7598,52.4305,23.3376,26.3182,review volume and rating by reviewer activity label
reviewer_activity_rating,user_review_count_label,Uber,,,review_count_label_order,4,2757,57263,10107,3.739,3.7241,3.7278,83.7364,30.6027,17.7336,review volume and rating by reviewer activity label
reviewer_activity_rating,user_review_count_label,Medium,,,review_count_label_order,2,15907,97176,12305,3.7782,3.8151,3.7887,2.9483,17.3561,30.0942,review volume and rating by reviewer activity label
reviewer_activity_rating,user_review_count_label,Low,,,review_count_label_order,1,45966,83484,12660,3.7515,3.777,3.8161,0.0012,13.6361,25.854,review volume and rating by reviewer activity label
elite_review_overlay,elite_bucket,non_elite_user,not_elite,,elite_bucket_rank,1,65809,227533,15315,3.7459,3.773,3.7855,0.0,15.8377,70.4642,elite status and duration as a review-source overlay
elite_review_overlay,elite_bucket,elite_user,multi_year_elite,,elite_bucket_rank,2,3066,65975,10259,3.7947,3.7795,3.7556,100.0,32.4426,20.4316,elite status and duration as a review-source overlay
elite_review_overlay,elite_bucket,elite_user,one_or_two_year_elite,,elite_bucket_rank,3,1942,29398,7321,3.8346,3.8426,3.7635,100.0,27.7808,9.1042,elite status and duration as a review-source overlay
fan_segment_overlay,user_fans_label,High,,,fan_label_order,3,256,6126,3384,3.7789,3.7251,3.7051,98.6614,41.0708,1.8971,fan label compared with review contribution and ratings
fan_segment_overlay,user_fans_label,Uber,,,fan_label_order,4,54,1590,1119,4.1358,4.0497,3.8462,100.0,63.4591,0.4924,fan label compared with review contribution and ratings
fan_segment_overlay,user_fans_label,Low,,,fan_label_order,1,14547,124854,13100,3.7926,3.8024,3.7717,38.0845,21.6765,38.6657,fan label compared with review contribution and ratings
fan_segment_overlay,user_fans_label,Medium,,,fan_label_order,2,1618,40994,8719,3.7678,3.7598,3.7422,89.818,35.1783,12.6953,fan label compared with review contribution and ratings
fan_segment_overlay,user_fans_label,None,,,fan_label_order,0,54342,149342,14433,3.7344,3.7677,3.794,2.2559,13.7918,46.2494,fan label compared with review contribution and ratings
vote_segment_overlay,user_useful_vote_label,High,,,useful_vote_label_order,3,6026,70324,10772,3.7503,3.7718,3.7661,33.3599,21.7394,21.7785,review-source useful-vote label compared with review behavior
vote_segment_overlay,user_useful_vote_label,Uber,,,useful_vote_label_order,4,3690,83338,11271,3.7572,3.7412,3.7393,84.3781,32.7366,25.8087,review-source useful-vote label compared with review behavior
vote_segment_overlay,user_useful_vote_label,Low,,,useful_vote_label_order,1,34194,74148,12044,3.776,3.7954,3.8094,0.0486,11.6564,22.9627,review-source useful-vote label compared with review behavior
vote_segment_overlay,user_useful_vote_label,Medium,,,useful_vote_label_order,2,14800,79506,11607,3.7508,3.7973,3.7863,1.9596,16.5736,24.622,review-source useful-vote label compared with review behavior
vote_segment_overlay,user_useful_vote_label,None,,,useful_vote_label_order,0,12107,15590,6429,3.8713,3.877,3.8344,0.0,7.8063,4.828,review-source useful-vote label compared with review behavior
compliment_type_overlay,compliment_type,note,Low,,compliment_row_rank,1,12816,112200,12648,3.7729,3.7927,3.7672,32.4465,21.008,12.9703,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,plain,Low,,compliment_row_rank,2,12015,103450,12395,3.782,3.7969,3.7721,33.4161,20.5143,12.1597,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cool,Low,,compliment_row_rank,3,10952,93471,11825,3.7911,3.811,3.7716,30.6705,20.6053,11.0839,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,writer,Low,,compliment_row_rank,4,8776,96551,11877,3.7717,3.7855,3.7588,47.781,24.0474,8.8817,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,hot,Low,,compliment_row_rank,5,7960,82747,11250,3.7896,3.8029,3.7681,44.0524,22.8057,8.0559,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,more,Low,,compliment_row_rank,6,7509,93727,11606,3.7637,3.7625,3.7502,63.4961,27.8916,7.5994,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,funny,Low,,compliment_row_rank,7,7358,84125,11425,3.7628,3.7697,3.7589,53.6214,24.7097,7.4466,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,photos,Low,,compliment_row_rank,8,4483,68714,10675,3.7892,3.7831,3.7491,69.3134,27.7964,4.537,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cute,Low,,compliment_row_rank,9,3978,66384,10426,3.7822,3.7747,3.7459,71.0412,28.6153,4.0259,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,profile,Low,,compliment_row_rank,10,3056,53953,9834,3.7832,3.7679,3.7399,81.6229,30.1985,3.0928,compliment recognition types joined back to review behavior
