evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,users,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,long_review_rate_pct,useful_vote_rate_pct,funny_vote_rate_pct,cool_vote_rate_pct,share_pct,notes
review_star_vote_baseline,review_polarity,positive_review,"","",review_polarity_rank,1,14653,57271,220900,,,3.9351,4.5194,17.4731,51.6116,24.5473,36.1467,68.41,review polarity compared with vote labels and review length
review_star_vote_baseline,review_polarity,negative_review,"","",review_polarity_rank,2,10743,27694,56060,,,3.3145,1.5099,28.3767,59.4078,32.7613,26.4699,17.3611,review polarity compared with vote labels and review length
review_star_vote_baseline,review_polarity,middle_review,"","",review_polarity_rank,3,8379,15560,45946,,,3.5839,3.0,24.161,54.4248,29.6957,34.7691,14.2289,review polarity compared with vote labels and review length
business_star_review_gap,business_star_review_polarity,4.0_to_4.49_star_business,positive_review,"",business_star_review_rank,1,3419,34420,96970,,,4.0,4.5109,18.2861,52.4606,24.5839,37.196,30.0304,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,3.0_to_3.99_star_business,positive_review,"",business_star_review_rank,2,5345,26133,66482,,,3.3916,4.3754,17.1971,50.3309,24.7135,34.7101,20.5887,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,4.5_to_5_star_business,positive_review,"",business_star_review_rank,3,4316,26400,53723,,,4.5971,4.7266,16.4566,51.9517,24.2522,36.3476,16.6373,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,3.0_to_3.99_star_business,negative_review,"",business_star_review_rank,4,4952,17301,29567,,,3.3073,1.5283,28.0955,59.3398,32.357,26.8678,9.1565,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,3.0_to_3.99_star_business,middle_review,"",business_star_review_rank,5,3822,9946,23800,,,3.3395,3.0,23.0168,53.9118,29.6681,34.9328,7.3706,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,4.0_to_4.49_star_business,middle_review,"",business_star_review_rank,6,2330,7874,15936,,,4.0,3.0,26.2613,55.315,29.0098,34.3687,4.9352,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,4.0_to_4.49_star_business,negative_review,"",business_star_review_rank,7,2575,9593,13812,,,4.0,1.5964,30.3142,60.7732,34.7162,27.201,4.2774,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,below_3_star_business,negative_review,"",business_star_review_rank,8,2391,7666,10363,,,2.1545,1.3249,25.7744,58.2167,30.8501,25.1375,3.2093,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,below_3_star_business,positive_review,"",business_star_review_rank,9,1573,2874,3725,,,2.3962,4.3219,15.8926,47.4631,24.8859,31.5705,1.1536,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,4.5_to_5_star_business,middle_review,"",business_star_review_rank,10,970,2265,3170,,,4.5063,3.0,25.836,54.4164,30.3785,34.3218,0.9817,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,below_3_star_business,middle_review,"",business_star_review_rank,11,1257,1982,3040,,,2.3544,3.0,20.3618,53.7829,32.7961,36.0526,0.9415,business star bucket crossed with individual review polarity
business_star_review_gap,business_star_review_polarity,4.5_to_5_star_business,negative_review,"",business_star_review_rank,12,825,2089,2318,,,4.5073,1.5871,32.0535,57.4633,34.8145,22.994,0.7179,business star bucket crossed with individual review polarity
category_review_polarity,category_review_polarity,Restaurants,positive_review,"",category_polarity_rank,1,5229,45232,152067,,,3.8687,4.4839,17.7185,51.5444,23.6238,35.7855,15.0492,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Restaurants,negative_review,"",category_polarity_rank,2,4803,20230,38226,,,3.4296,1.5574,27.7795,59.8493,33.3203,27.2929,3.783,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Restaurants,middle_review,"",category_polarity_rank,3,4500,12985,34439,,,3.6136,3.0,24.6407,54.0376,28.4009,33.767,3.4082,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Food,positive_review,"",category_polarity_rank,4,2009,15152,33825,,,4.0549,4.5365,15.0953,52.3695,26.9475,38.8825,3.3475,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Nightlife,positive_review,"",category_polarity_rank,5,728,13810,28581,,,3.8668,4.4477,19.3905,55.0576,27.6652,41.797,2.8285,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Bars,positive_review,"",category_polarity_rank,6,606,12954,26077,,,3.8749,4.4479,19.0129,54.4886,27.3728,41.3429,2.5807,largest category and review-polarity cells
category_review_polarity,category_review_polarity,American (New),positive_review,"",category_polarity_rank,7,428,13172,24265,,,3.9513,4.4862,21.6361,52.1574,23.6967,37.5067,2.4014,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Mexican,positive_review,"",category_polarity_rank,8,790,11481,18086,,,3.7797,4.4694,15.0227,49.4029,22.5312,33.6614,1.7899,largest category and review-polarity cells
