evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,users,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,long_review_rate_pct,share_pct,notes
attribute_family_coverage,attribute_family,payment_price,positive_or_specific_value,"",attribute_family_rank,1,11078,,572453,152906,658463,3.6383,3.6308,17.291,71.0812,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,parking,none_no_false_value,"",attribute_family_rank,2,9253,,1097683,296362,1298995,3.6318,3.6245,16.9975,59.3712,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,access_family,positive_or_specific_value,"",attribute_family_rank,3,7470,,401937,107888,397974,3.6489,3.6509,18.0564,47.9307,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,other_attribute,none_no_false_value,"",attribute_family_rank,4,6584,,3522624,928981,3010157,3.5481,3.5456,17.7927,42.2457,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,other_attribute,positive_or_specific_value,"",attribute_family_rank,5,5789,,1103585,291086,865767,3.6749,3.6767,19.2388,37.1447,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,experience_setting,positive_or_specific_value,"",attribute_family_rank,6,5705,,980133,257995,838545,3.549,3.5479,18.5991,36.6057,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,parking,positive_or_specific_value,"",attribute_family_rank,7,5648,,299907,78663,277465,3.7476,3.7512,18.7618,36.24,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,service_channel,positive_or_specific_value,"",attribute_family_rank,8,4965,,504209,128002,405664,3.517,3.5153,19.0812,31.8576,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,service_channel,none_no_false_value,"",attribute_family_rank,9,4729,,401204,108313,381014,3.4997,3.497,16.7771,30.3433,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,experience_setting,none_no_false_value,"",attribute_family_rank,10,3611,,165755,42907,173115,3.4585,3.4506,16.339,23.1697,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,access_family,none_no_false_value,"",attribute_family_rank,11,1233,,71616,17494,50357,3.5638,3.5515,23.4174,7.9115,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,payment_price,none_no_false_value,"",attribute_family_rank,12,306,,4226,873,4267,3.7859,3.7932,20.3071,1.9634,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,availability,none_no_false_value,"",attribute_family_rank,13,153,,18707,3732,8310,3.6797,3.6882,21.174,0.9817,coverage of attribute families and value groups
attribute_family_coverage,attribute_family,availability,positive_or_specific_value,"",attribute_family_rank,14,3,,31,9,91,3.5,3.65,11.6667,0.0192,coverage of attribute families and value groups
selected_feature_quality,selected_feature,Wheelchair Accessible,true,"",selected_feature_rank,1,5369,,226806,58894,215994,3.6707,3.6725,18.668,34.4498,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Good for Kids,true,"",selected_feature_rank,2,4720,,175131,48994,181980,3.6242,3.6262,17.3606,30.2855,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Take-out,true,"",selected_feature_rank,3,4514,,209542,54941,184092,3.5115,3.5088,17.3976,28.9637,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Delivery,false,"",selected_feature_rank,4,3706,,195697,51149,164121,3.5208,3.5239,18.4356,23.7793,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Outdoor Seating,true,"",selected_feature_rank,5,2973,,160054,43328,142747,3.6004,3.6022,18.3937,19.076,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Outdoor Seating,false,"",selected_feature_rank,6,2354,,78079,19752,77351,3.4501,3.4452,17.5365,15.1043,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Alcohol,none,"",selected_feature_rank,7,2214,,63887,17808,76271,3.4998,3.4921,14.8459,14.206,specific service features compared with rating and activity
