evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,avg_open_days,share_pct,notes
schedule_coverage,schedule_presence,no_hours_listed,"","",schedule_presence_rank,1,8133,81134,24554,,3.5034,3.4901,0.0,52.1848,basic coverage of listed operating schedules
schedule_coverage,schedule_presence,has_hours_listed,"","",schedule_presence_rank,2,7452,241772,62603,,3.8626,3.8608,6.4185,47.8152,basic coverage of listed operating schedules
opening_time_profile,opening_bucket,morning_8_to_10am,"","",opening_bucket_rank,1,4393,427809,111882,,3.8911,3.8847,,47.2769,opening time buckets by listed day rows
opening_time_profile,opening_bucket,midday_opening,"","",opening_bucket_rank,2,2674,738897,192645,,3.7363,3.7383,,24.4674,opening time buckets by listed day rows
opening_time_profile,opening_bucket,early_before_8am,"","",opening_bucket_rank,3,1900,299069,86802,,3.8304,3.8306,,23.0227,opening time buckets by listed day rows
opening_time_profile,opening_bucket,late_or_unclear_opening,"","",opening_bucket_rank,4,622,165414,34228,,3.856,3.8719,,5.233,opening time buckets by listed day rows
closing_time_profile,closing_bucket,evening_close,"","",closing_bucket_rank,1,4284,592887,150117,,3.8393,3.8318,,47.0009,closing time buckets by listed day rows
closing_time_profile,closing_bucket,daytime_or_unclear_close,"","",closing_bucket_rank,2,3099,211075,48814,,4.0722,4.0726,,22.4603,closing time buckets by listed day rows
closing_time_profile,closing_bucket,late_evening_close,"","",closing_bucket_rank,3,1897,532856,138714,,3.6787,3.6847,,19.1487,closing time buckets by listed day rows
closing_time_profile,closing_bucket,late_night_or_next_day_close,"","",closing_bucket_rank,4,1008,294371,87912,,3.6337,3.6387,,11.3901,closing time buckets by listed day rows
operating_breadth,schedule_breadth,no_hours_listed,no_hours_listed,"",schedule_breadth_rank,1,8133,81134,24554,,3.5034,3.4901,0.0,52.1848,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,seven_day_schedule,standard_or_unclear_schedule,"",schedule_breadth_rank,2,1786,42732,10811,,3.7595,3.7521,7.0,11.4597,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,seven_day_schedule,late_closing_schedule,"",schedule_breadth_rank,3,1727,113308,30201,,3.6508,3.6499,7.0,11.0812,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,four_to_six_day_schedule,standard_or_unclear_schedule,"",schedule_breadth_rank,4,1707,23069,4841,,4.1755,4.1773,5.5436,10.9528,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,seven_day_schedule,early_opening_schedule,"",schedule_breadth_rank,5,630,20216,5841,,3.8437,3.8456,7.0,4.0423,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,seven_day_schedule,early_and_late_schedule,"",schedule_breadth_rank,6,601,19301,5970,,3.698,3.7129,7.0,3.8563,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,four_to_six_day_schedule,early_opening_schedule,"",schedule_breadth_rank,7,600,6539,1267,,4.0533,4.0323,5.4917,3.8499,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,four_to_six_day_schedule,late_closing_schedule,"",schedule_breadth_rank,8,238,14708,3226,,3.8592,3.8638,5.7059,1.5271,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,one_to_three_day_schedule,standard_or_unclear_schedule,"",schedule_breadth_rank,9,68,599,116,,4.1397,4.1713,1.8382,0.4363,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,four_to_six_day_schedule,early_and_late_schedule,"",schedule_breadth_rank,10,47,810,209,,3.6915,3.6737,5.8723,0.3016,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,one_to_three_day_schedule,late_closing_schedule,"",schedule_breadth_rank,11,26,309,70,,3.7692,3.7535,2.5385,0.1668,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,one_to_three_day_schedule,early_opening_schedule,"",schedule_breadth_rank,12,18,115,28,,4.1111,4.0965,1.9444,0.1155,open-day breadth crossed with early and late schedule shape
operating_breadth,schedule_breadth,one_to_three_day_schedule,early_and_late_schedule,"",schedule_breadth_rank,13,4,66,23,,3.875,3.7686,1.25,0.0257,open-day breadth crossed with early and late schedule shape
schedule_checkin_alignment,schedule_shape_daypart,no_hours_listed,afternoon,"",schedule_daypart_rank,1,5677,1513074,590752,75757,3.5113,3.5021,0.0,17.632,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,no_hours_listed,evening,"",schedule_daypart_rank,2,5151,1176475,448564,51013,3.4962,3.4864,0.0,11.873,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,late_closing_schedule,evening,"",schedule_daypart_rank,3,1842,3840192,1022653,48653,3.6879,3.6906,6.8727,11.3237,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,late_closing_schedule,afternoon,"",schedule_daypart_rank,4,1823,4097986,1115781,46677,3.6838,3.685,6.9012,10.8638,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,standard_or_unclear_schedule,afternoon,"",schedule_daypart_rank,5,2333,1709693,460659,37995,3.8723,3.8758,6.606,8.8431,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,no_hours_listed,morning,"",schedule_daypart_rank,6,4713,672184,294726,36053,3.4971,3.4879,0.0,8.3911,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,standard_or_unclear_schedule,evening,"",schedule_daypart_rank,7,2001,1112152,302240,20869,3.8357,3.8384,6.6858,4.8571,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_and_late_schedule,afternoon,"",schedule_daypart_rank,8,579,641373,208830,13539,3.7288,3.7464,6.9278,3.1511,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_opening_schedule,afternoon,"",schedule_daypart_rank,9,850,646550,196071,13501,3.8323,3.8283,6.6679,3.1423,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,no_hours_listed,late_night,"",schedule_daypart_rank,10,2703,379373,170936,12974,3.4111,3.4004,0.0,3.0196,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_opening_schedule,morning,"",schedule_daypart_rank,11,818,604430,179341,11588,3.8676,3.8648,6.6951,2.697,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,standard_or_unclear_schedule,morning,"",schedule_daypart_rank,12,1950,535125,156423,11082,3.9011,3.9062,6.5227,2.5793,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_and_late_schedule,evening,"",schedule_daypart_rank,13,575,530355,169944,11026,3.7163,3.732,6.9346,2.5662,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_and_late_schedule,morning,"",schedule_daypart_rank,14,555,470157,153725,9305,3.7463,3.7629,6.9405,2.1657,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,late_closing_schedule,late_night,"",schedule_daypart_rank,15,1338,1044210,294523,9192,3.684,3.6808,6.864,2.1394,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,late_closing_schedule,morning,"",schedule_daypart_rank,16,1541,974155,266567,8631,3.7243,3.7199,6.904,2.0088,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_opening_schedule,evening,"",schedule_daypart_rank,17,629,244659,78877,5050,3.8357,3.8208,6.7934,1.1754,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_and_late_schedule,late_night,"",schedule_daypart_rank,18,470,219472,72389,3778,3.7406,3.7614,6.9757,0.8793,listed schedule shape compared with observed check-in daypart intensity
