evidence_block,grain,item,item_2,item_3,rank_label,rank_value,users,reviews,businesses,avg_user_stars,avg_review_stars,avg_business_stars,long_review_rate_pct,avg_elite_years,share_pct,notes
social_segment_baseline,recognition_bucket,ordinary_or_low_recognition,"","",recognition_review_rank,1,65689,223745,15275,3.7468,3.7752,3.787,15.5923,0.0,69.2911,review contribution and rating behavior by user recognition bucket
social_segment_baseline,recognition_bucket,multi_year_elite,"","",recognition_review_rank,2,3066,65975,10259,3.7947,3.7795,3.7556,32.4426,4.5135,20.4316,review contribution and rating behavior by user recognition bucket
social_segment_baseline,recognition_bucket,short_elite,"","",recognition_review_rank,3,1942,29398,7321,3.8346,3.8426,3.7635,27.7808,1.6757,9.1042,review contribution and rating behavior by user recognition bucket
social_segment_baseline,recognition_bucket,high_compliment_non_elite,"","",recognition_review_rank,4,99,3706,2565,3.6883,3.6382,3.6954,30.7609,0.0,1.1477,review contribution and rating behavior by user recognition bucket
social_segment_baseline,recognition_bucket,high_fan_non_elite,"","",recognition_review_rank,5,21,82,77,4.0,3.878,3.7378,10.9756,0.0,0.0254,review contribution and rating behavior by user recognition bucket
city_social_voice,city_recognition,Phoenix,ordinary_or_low_recognition,"",city_recognition_rank,1,33604,87612,5357,3.7593,3.7956,3.8019,16.3482,0.0,27.1324,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Scottsdale,ordinary_or_low_recognition,"",city_recognition_rank,2,22231,48329,2557,3.7671,3.7934,3.8157,16.7622,0.0,14.9669,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Phoenix,multi_year_elite,"",city_recognition_rank,3,2253,29300,3905,3.8011,3.7969,3.7669,32.8669,4.5132,9.0738,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Tempe,ordinary_or_low_recognition,"",city_recognition_rank,4,12732,25584,1404,3.7446,3.7367,3.7567,15.5527,0.0,7.923,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Chandler,ordinary_or_low_recognition,"",city_recognition_rank,5,7735,15480,1163,3.7246,3.7678,3.7565,14.8191,0.0,4.794,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Scottsdale,multi_year_elite,"",city_recognition_rank,6,1647,15440,1865,3.8153,3.8146,3.7764,35.2915,4.5949,4.7816,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Mesa,ordinary_or_low_recognition,"",city_recognition_rank,7,7539,13458,1335,3.7328,3.8032,3.8133,13.4492,0.0,4.1678,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Phoenix,short_elite,"",city_recognition_rank,8,1342,12365,2735,3.8402,3.8568,3.7873,29.0255,1.692,3.8293,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Glendale,ordinary_or_low_recognition,"",city_recognition_rank,9,4796,8008,802,3.6926,3.703,3.7128,13.8611,0.0,2.48,city-level concentration of recognized reviewer voice
