evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,users,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,long_review_rate_pct,long_tip_rate_pct,liked_tip_rate_pct,share_pct,notes
tip_review_coverage,review_tip_coverage,reviews_and_tips,low_tip_depth,"",coverage_rank,1,8110,,86460,23659,206225,3.6108,3.6046,16.4095,7.575,0.8552,52.0372,business-level coverage of formal reviews and lightweight tips
tip_review_coverage,review_tip_coverage,reviews_without_tips,no_tips,"",coverage_rank,2,5107,,23669,0,20638,3.75,3.7353,18.7799,0.0,0.0,32.7687,business-level coverage of formal reviews and lightweight tips
tip_review_coverage,review_tip_coverage,reviews_and_tips,medium_tip_depth,"",coverage_rank,3,2119,,146383,43441,152964,3.7098,3.7155,18.9675,5.496,0.8434,13.5964,business-level coverage of formal reviews and lightweight tips
tip_review_coverage,review_tip_coverage,reviews_and_tips,high_tip_depth,"",coverage_rank,4,243,,66394,20056,23874,3.9177,3.9147,22.4032,4.3855,0.7409,1.5592,business-level coverage of formal reviews and lightweight tips
tip_review_coverage,review_tip_coverage,no_review_or_tip,no_tips,"",coverage_rank,5,5,,0,0,0,4.9,,0.0,0.0,0.0,0.0321,business-level coverage of formal reviews and lightweight tips
tip_review_coverage,review_tip_coverage,tips_without_reviews,low_tip_depth,"",coverage_rank,6,1,,0,1,0,5.0,,0.0,0.0,0.0,0.0064,business-level coverage of formal reviews and lightweight tips
tip_length_like_baseline,tip_length_like,Medium,zero_likes,"",tip_length_like_rank,1,9632,13142,,65744,,,,,0.0,0.0,75.4317,tip text length and like presence
tip_length_like_baseline,tip_length_like,Short,zero_likes,"",tip_length_like_rank,2,5103,5115,,15967,,,,,0.0,0.0,18.3198,tip text length and like presence
tip_length_like_baseline,tip_length_like,Long,zero_likes,"",tip_length_like_rank,3,2885,3060,,4724,,,,,100.0,0.0,5.4201,tip text length and like presence
tip_length_like_baseline,tip_length_like,Medium,has_likes,"",tip_length_like_rank,4,496,431,,558,,,,,0.0,100.0,0.6402,tip text length and like presence
tip_length_like_baseline,tip_length_like,Long,has_likes,"",tip_length_like_rank,5,108,83,,112,,,,,100.0,100.0,0.1285,tip text length and like presence
tip_length_like_baseline,tip_length_like,Short,has_likes,"",tip_length_like_rank,6,51,51,,52,,,,,0.0,100.0,0.0597,tip text length and like presence
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Low,None,pairing_rank,1,5492,5592,,19027,,,,,7.1162,0.6097,21.8307,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Medium,Low,pairing_rank,2,4218,1290,,10428,,,,,3.6249,0.7288,11.9646,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Medium,None,pairing_rank,3,4168,1926,,9663,,,,,5.9609,0.6727,11.0869,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,High,Low,pairing_rank,4,3923,927,,8198,,,,,2.9763,0.8051,9.406,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,High,Low,pairing_rank,5,3365,1020,,6455,,,,,3.78,0.883,7.4062,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Low,Low,pairing_rank,6,2948,918,,5707,,,,,3.8023,0.5958,6.548,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Low,None,pairing_rank,7,2559,3436,,4271,,,,,17.092,0.7961,4.9004,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Medium,None,pairing_rank,8,2467,1761,,4152,,,,,8.0684,0.7466,4.7638,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Medium,Low,pairing_rank,9,2087,1127,,3262,,,,,6.0392,0.8584,3.7427,whether tip authors also have matching review rows for the same business
