evidence_block,grain,item,item_2,item_3,rank_label,rank_value,order_count,customer_count,line_count,book_count,total_order_value,avg_order_value,shipping_cost,status_count,delivered_orders,cancelled_orders,returned_orders,share_pct,secondary_value,notes
destination_country_order_mix,destination_country,China,,,country_value_rank,1.0,1176,378,1176,1176,11802.7,10.0363,,,552,38,33,15.643,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Indonesia,,,country_value_rank,2.0,995,298,995,995,9800.16,9.8494,,,468,47,26,12.9889,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Russia,,,country_value_rank,3.0,510,157,510,510,4820.89,9.4527,,,217,24,12,6.3895,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Philippines,,,country_value_rank,4.0,334,100,334,334,3405.17,10.1951,,,149,13,7,4.5131,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Brazil,,,country_value_rank,5.0,333,100,333,333,3381.84,10.1557,,,154,14,8,4.4822,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Poland,,,country_value_rank,6.0,324,92,324,324,3300.02,10.1852,,,151,9,2,4.3738,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Peru,,,country_value_rank,7.0,252,70,252,252,2588.15,10.2704,,,116,9,4,3.4303,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Portugal,,,country_value_rank,8.0,259,98,259,259,2492.69,9.6243,,,129,8,7,3.3038,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,United States of America,,,country_value_rank,9.0,223,89,223,223,2184.74,9.797,,,90,7,7,2.8956,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,France,,,country_value_rank,10.0,209,70,209,209,2019.8,9.6641,,,90,14,6,2.677,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Sweden,,,country_value_rank,11.0,148,66,148,148,1598.66,10.8018,,,68,3,6,2.1188,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Colombia,,,country_value_rank,12.0,131,33,131,131,1363.19,10.406,,,64,1,7,1.8067,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Guatemala,,,country_value_rank,13.0,116,24,116,116,1279.98,11.0343,,,57,6,5,1.6965,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Czech Republic,,,country_value_rank,14.0,131,54,131,131,1272.85,9.7164,,,58,10,9,1.687,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Japan,,,country_value_rank,15.0,119,42,119,119,1183.25,9.9433,,,53,3,3,1.5683,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Pakistan,,,country_value_rank,16.0,102,18,102,102,1002.23,9.8258,,,51,5,0,1.3283,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Canada,,,country_value_rank,17.0,90,22,90,90,960.02,10.6669,,,44,2,2,1.2724,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Armenia,,,country_value_rank,18.0,93,27,93,93,914.0,9.828,,,46,2,1,1.2114,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Ukraine,,,country_value_rank,19.0,93,41,93,93,885.28,9.5191,,,50,3,4,1.1733,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Haiti,,,country_value_rank,20.0,88,11,88,88,837.87,9.5213,,,41,6,2,1.1105,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Iran,,,country_value_rank,21.0,82,19,82,82,822.53,10.0309,,,35,4,4,1.0902,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Ecuador,,,country_value_rank,22.0,63,7,63,63,691.87,10.9821,,,37,3,1,0.917,,Destination-country concentration of order value and fulfillment exposure.
destination_country_order_mix,destination_country,Syria,,,country_value_rank,23.0,67,17,67,67,649.21,9.6897,,,31,1,3,0.8604,,Destination-country concentration of order value and fulfillment exposure.
