evidence_block,grain,item,item_2,item_3,rank_label,rank_value,catalog_book_count,sold_book_count,line_count,order_count,total_price,avg_price,avg_pages,author_count,publisher_count,language_count,share_pct,secondary_value,notes
author_count_demand,author_count,1,,,author_count_value_rank,1.0,6028,2994,4152,4152,42287.09,10.2388,344.8135,1.0,,,56.0463,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,2,,,author_count_value_rank,2.0,2666,1259,1705,1705,16782.12,9.8886,308.8413,2.0,,,22.2426,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,0,,,author_count_value_rank,3.0,1069,540,743,743,7057.95,9.3053,371.6586,0.0,,,9.3544,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,3,,,author_count_value_rank,4.0,862,416,581,581,5708.3,9.7867,313.3376,3.0,,,7.5657,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,4,,,author_count_value_rank,5.0,210,107,153,153,1547.22,9.9989,347.1667,4.0,,,2.0507,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,5,,,author_count_value_rank,6.0,75,40,61,61,597.49,9.713,389.2667,5.0,,,0.7919,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,6,,,author_count_value_rank,7.0,64,31,42,42,410.51,9.7897,301.2969,6.0,,,0.5441,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,7,,,author_count_value_rank,8.0,27,13,17,17,171.2,10.1323,346.2963,7.0,,,0.2269,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,17,,,author_count_value_rank,9.0,6,4,9,9,120.15,13.8694,349.3333,17.0,,,0.1592,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,8,,,author_count_value_rank,10.0,12,7,11,11,119.72,11.7457,290.8333,8.0,,,0.1587,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,9,,,author_count_value_rank,11.0,12,8,12,12,101.48,7.2533,264.1667,9.0,,,0.1345,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,11,,,author_count_value_rank,12.0,12,8,10,10,97.3,10.4844,371.0833,11.0,,,0.129,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,10,,,author_count_value_rank,13.0,16,8,10,10,69.96,6.4463,274.0625,10.0,,,0.0927,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,19,,,author_count_value_rank,14.0,4,3,4,4,60.84,15.2283,341.5,19.0,,,0.0806,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,18,,,author_count_value_rank,15.0,9,3,4,4,56.2,13.8017,408.1111,18.0,,,0.0745,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,15,,,author_count_value_rank,16.0,8,3,4,4,46.59,11.42,324.875,15.0,,,0.0617,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,12,,,author_count_value_rank,17.0,5,4,6,6,45.59,8.0225,285.2,12.0,,,0.0604,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,16,,,author_count_value_rank,18.0,6,3,4,4,43.2,10.9867,260.3333,16.0,,,0.0573,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,20,,,author_count_value_rank,19.0,4,2,4,4,31.83,8.395,339.0,20.0,,,0.0422,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,21,,,author_count_value_rank,20.0,7,2,4,4,15.16,6.2333,327.0,21.0,,,0.0201,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,26,,,author_count_value_rank,21.0,1,1,2,2,15.09,7.545,383.0,26.0,,,0.02,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,13,,,author_count_value_rank,22.0,8,2,3,3,14.43,4.4725,192.625,13.0,,,0.0191,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,24,,,author_count_value_rank,23.0,3,2,2,2,11.69,5.845,331.0,24.0,,,0.0155,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,35,,,author_count_value_rank,24.0,1,1,1,1,11.05,11.05,1838.0,35.0,,,0.0146,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,28,,,author_count_value_rank,25.0,1,1,1,1,10.35,10.35,422.0,28.0,,,0.0137,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,27,,,author_count_value_rank,26.0,2,1,1,1,8.18,8.18,500.5,27.0,,,0.0108,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,32,,,author_count_value_rank,27.0,1,1,1,1,6.01,6.01,293.0,32.0,,,0.008,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,38,,,author_count_value_rank,28.0,1,1,2,2,3.05,1.525,733.0,38.0,,,0.004,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,51,,,author_count_value_rank,29.0,1,1,1,1,0.47,0.47,344.0,51.0,,,0.0006,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,14,,,author_count_value_rank,30.0,2,0,0,0,0.0,,360.0,14.0,,,0.0,,Single-author and multi-author catalog demand comparison.
