evidence_block,grain,item,item_2,item_3,rank_label,rank_value,order_count,line_count,total_order_value,avg_order_value,history_rows,status_count,min_status_id,max_status_id,delivered_orders,cancelled_orders,returned_orders,share_pct,secondary_value,notes
latest_status_profile,latest_status,Delivered,,,latest_status_order_rank,1.0,3433,3433,34481.85,10.0442,4.0387,4.0387,,,3433,0,133,45.4702,,Latest observed status distribution.
latest_status_profile,latest_status,Pending Delivery,,,latest_status_order_rank,2.0,2800,2800,27908.5,9.9673,2.0,2.0,,,0,0,0,37.0861,,Latest observed status distribution.
latest_status_profile,latest_status,Delivery In Progress,,,latest_status_order_rank,3.0,500,500,4728.7,9.4574,3.0,3.0,,,0,0,0,6.6225,,Latest observed status distribution.
latest_status_profile,latest_status,Order Received,,,latest_status_order_rank,4.0,448,448,4546.75,10.149,1.0,1.0,,,0,0,0,5.9338,,Latest observed status distribution.
latest_status_profile,latest_status,Cancelled,,,latest_status_order_rank,5.0,300,300,3018.07,10.0602,2.0,2.0,,,0,300,0,3.9735,,Latest observed status distribution.
latest_status_profile,latest_status,Returned,,,latest_status_order_rank,6.0,67,67,754.67,11.2637,5.0,5.0,,,67,0,67,0.8874,,Latest observed status distribution.
latest_status_profile,latest_status,no_history,,,latest_status_order_rank,7.0,2,2,11.68,5.84,0.0,0.0,,,0,0,0,0.0265,,Latest observed status distribution.
lifecycle_by_country,country_lifecycle,Afghanistan,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,31,31,321.74,10.3787,2.0645,2.0645,,,0,0,0,57.4074,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Albania,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,12,12,137.46,11.455,2.3333,2.3333,,,0,0,0,54.5455,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Argentina,delivered_path,,lifecycle_rank_within_country,1.0,12,12,155.61,12.9675,4.0,4.0,,,12,0,0,48.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Armenia,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,45,45,476.34,10.5853,1.8889,1.8889,,,0,0,0,48.3871,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Australia,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,6,6,28.61,4.7683,2.0,2.0,,,0,0,0,66.6667,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Azerbaijan,delivered_path,,lifecycle_rank_within_country,1.0,19,19,166.34,8.7547,4.0,4.0,,,19,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Bangladesh,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,13,13,160.02,12.3092,2.0,2.0,,,0,0,0,61.9048,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Belarus,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,22,22,257.1,11.6864,2.0,2.0,,,0,0,0,44.898,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Bhutan,delivered_path,,lifecycle_rank_within_country,1.0,16,16,181.22,11.3263,4.0,4.0,,,16,0,0,53.3333,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Brazil,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,165,165,1673.67,10.1435,2.0182,2.0182,,,0,0,0,49.5495,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Bulgaria,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,1,1,7.38,7.38,2.0,2.0,,,0,0,0,100.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Burkina Faso,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,10,10,111.22,11.122,2.2,2.2,,,0,0,0,71.4286,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Cameroon,delivered_path,,lifecycle_rank_within_country,1.0,18,18,167.02,9.2789,4.0,4.0,,,18,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Canada,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,44,44,502.57,11.422,2.0455,2.0455,,,0,0,0,48.8889,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,China,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,586,586,5842.84,9.9707,2.029,2.029,,,0,0,0,49.8299,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Colombia,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,66,66,652.6,9.8879,2.0303,2.0303,,,0,0,0,50.3817,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Comoros,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,11,11,111.23,10.1118,2.0909,2.0909,,,0,0,0,84.6154,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Costa Rica,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,32,32,306.66,9.5831,1.8438,1.8438,,,0,0,0,53.3333,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Croatia,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,9,9,96.97,10.7744,2.0,2.0,,,0,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Cuba,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,2,2,30.47,15.235,2.0,2.0,,,0,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Cyprus,delivered_path,,lifecycle_rank_within_country,1.0,3,3,15.79,5.2633,4.0,4.0,,,3,0,0,75.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Czech Republic,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,63,63,657.7,10.4397,2.0317,2.0317,,,0,0,0,48.0916,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Democratic Republic of the Congo,delivered_path,,lifecycle_rank_within_country,1.0,23,23,266.81,11.6004,4.0,4.0,,,23,0,0,54.7619,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Denmark,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,1,1,14.5,14.5,1.0,1.0,,,0,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Ecuador,delivered_path,,lifecycle_rank_within_country,1.0,36,36,379.64,10.5456,4.0,4.0,,,36,0,0,57.1429,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Egypt,delivered_path,,lifecycle_rank_within_country,1.0,3,3,32.31,10.77,4.0,4.0,,,3,0,0,60.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Ethiopia,delivered_path,,lifecycle_rank_within_country,1.0,3,3,18.86,6.2867,4.0,4.0,,,3,0,0,75.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Finland,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,9,9,78.37,8.7078,1.8889,1.8889,,,0,0,0,64.2857,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,France,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,105,105,996.07,9.4864,2.0286,2.0286,,,0,0,0,50.2392,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Georgia,delivered_path,,lifecycle_rank_within_country,1.0,4,4,32.75,8.1875,4.0,4.0,,,4,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Germany,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,10,10,131.48,13.148,1.8,1.8,,,0,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Ghana,delivered_path,,lifecycle_rank_within_country,1.0,12,12,149.59,12.4658,4.0,4.0,,,12,0,0,50.0,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Greece,delivered_path,,lifecycle_rank_within_country,1.0,17,17,175.3,10.3118,4.0,4.0,,,17,0,0,47.2222,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Guatemala,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,53,53,576.93,10.8855,1.9434,1.9434,,,0,0,0,45.6897,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Guinea,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,16,16,157.49,9.8431,2.0,2.0,,,0,0,0,66.6667,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Haiti,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,41,41,475.65,11.6012,1.9756,1.9756,,,0,0,0,46.5909,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Honduras,delivered_path,,lifecycle_rank_within_country,1.0,14,14,131.54,9.3957,4.0,4.0,,,14,0,0,46.6667,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Hungary,delivered_path,,lifecycle_rank_within_country,1.0,9,9,90.46,10.0511,4.0,4.0,,,9,0,0,52.9412,,Lifecycle buckets by destination country.
lifecycle_by_country,country_lifecycle,Indonesia,incomplete_or_in_progress,,lifecycle_rank_within_country,1.0,480,480,4777.76,9.9537,2.0104,2.0104,,,0,0,0,48.2412,,Lifecycle buckets by destination country.
