evidence_block,grain,item,item_2,item_3,rank_label,rank_value,catalog_book_count,sold_book_count,line_count,order_count,customer_count,publisher_count,language_count,total_price,avg_price,avg_pages,share_pct,notes
author_catalog_demand,author,Stephen King,8222,,author_value_rank,1.0,70,36,50,50,50,45,5,441.54,8.8308,436.2143,0.3721,Author catalog breadth and attributed demand.
author_catalog_demand,author,Sandra Brown,7875,,author_value_rank,2.0,46,26,37,37,37,24,4,360.94,9.7551,331.807,0.3042,Author catalog breadth and attributed demand.
author_catalog_demand,author,P.G. Wodehouse,6584,,author_value_rank,3.0,45,24,37,37,37,18,2,350.98,9.4859,299.069,0.2958,Author catalog breadth and attributed demand.
author_catalog_demand,author,Roald Dahl,7388,,author_value_rank,4.0,33,20,31,31,29,20,6,325.34,10.4948,150.7727,0.2742,Author catalog breadth and attributed demand.
author_catalog_demand,author,Piers Anthony,7004,,author_value_rank,5.0,31,18,27,27,27,13,3,305.46,11.3133,354.5,0.2575,Author catalog breadth and attributed demand.
author_catalog_demand,author,William Shakespeare,9115,,author_value_rank,6.0,34,19,28,28,27,20,2,296.02,10.5721,398.1628,0.2495,Author catalog breadth and attributed demand.
author_catalog_demand,author,Mercedes Lackey,5995,,author_value_rank,7.0,43,19,28,28,28,10,3,284.4,10.1571,445.1538,0.2397,Author catalog breadth and attributed demand.
author_catalog_demand,author,Margaret Weis,5583,,author_value_rank,8.0,36,17,24,24,24,14,2,276.83,11.5346,389.7674,0.2333,Author catalog breadth and attributed demand.
author_catalog_demand,author,Orson Scott Card,6560,,author_value_rank,9.0,40,17,25,25,25,23,4,265.81,10.6324,396.3125,0.224,Author catalog breadth and attributed demand.
author_catalog_demand,author,J.R.R. Tolkien,3583,,author_value_rank,10.0,39,20,27,27,27,17,4,265.33,9.827,434.8913,0.2236,Author catalog breadth and attributed demand.
author_catalog_demand,author,Rumiko Takahashi,7761,,author_value_rank,11.0,39,15,24,24,24,5,4,261.96,10.915,223.5833,0.2208,Author catalog breadth and attributed demand.
author_catalog_demand,author,Agatha Christie,79,,author_value_rank,12.0,39,22,29,29,29,20,2,251.57,8.6748,273.9565,0.212,Author catalog breadth and attributed demand.
author_catalog_demand,author,Gordon Korman,3058,,author_value_rank,13.0,23,16,23,23,23,10,1,229.26,9.9678,172.9,0.1932,Author catalog breadth and attributed demand.
author_catalog_demand,author,Laurell K. Hamilton,5097,,author_value_rank,14.0,27,13,21,21,21,11,3,225.76,10.7505,412.5714,0.1903,Author catalog breadth and attributed demand.
author_catalog_demand,author,James Patterson,3760,,author_value_rank,15.0,39,17,24,24,24,12,2,216.12,9.005,352.7174,0.1822,Author catalog breadth and attributed demand.
author_catalog_demand,author,Tom Clancy,8692,,author_value_rank,16.0,31,16,22,22,22,7,2,211.0,9.5909,511.7568,0.1778,Author catalog breadth and attributed demand.
author_catalog_demand,author,C.S. Lewis,1020,,author_value_rank,17.0,33,17,21,21,21,17,5,208.0,9.9048,338.1351,0.1753,Author catalog breadth and attributed demand.
author_catalog_demand,author,Anne Rice,465,,author_value_rank,18.0,28,12,17,17,17,13,4,203.77,11.9865,419.5152,0.1717,Author catalog breadth and attributed demand.
author_catalog_demand,author,Tracy Hickman,8759,,author_value_rank,19.0,26,13,19,19,19,10,2,200.07,10.53,398.0938,0.1686,Author catalog breadth and attributed demand.
author_catalog_demand,author,Quentin Blake,7039,,author_value_rank,20.0,17,11,20,20,19,9,3,199.27,9.9635,107.3077,0.168,Author catalog breadth and attributed demand.
author_catalog_demand,author,Mary Higgins Clark,5844,,author_value_rank,21.0,20,14,20,20,20,8,2,194.22,9.711,272.7692,0.1637,Author catalog breadth and attributed demand.
author_catalog_demand,author,V.C. Andrews,8809,,author_value_rank,22.0,19,11,17,17,17,7,4,185.3,10.9,347.52,0.1562,Author catalog breadth and attributed demand.
author_catalog_demand,author,Ursula K. Le Guin,8803,,author_value_rank,23.0,20,15,18,18,18,14,2,183.98,10.2211,318.3913,0.1551,Author catalog breadth and attributed demand.
author_catalog_demand,author,Alan Dean Foster,107,,author_value_rank,24.0,25,13,18,18,18,12,2,179.62,9.9789,343.2667,0.1514,Author catalog breadth and attributed demand.
author_catalog_demand,author,Dr. Seuss,2170,,author_value_rank,25.0,22,12,14,14,14,11,3,172.44,12.3171,67.5833,0.1453,Author catalog breadth and attributed demand.
author_catalog_demand,author,Philip K. Dick,6956,,author_value_rank,26.0,18,11,16,16,15,11,3,171.3,10.7063,370.8696,0.1444,Author catalog breadth and attributed demand.
author_catalog_demand,author,Dick Francis,2018,,author_value_rank,27.0,29,14,16,16,15,7,2,170.91,10.6819,319.9677,0.144,Author catalog breadth and attributed demand.
author_catalog_demand,author,Sophocles,8126,,author_value_rank,28.0,18,10,16,16,16,16,3,170.33,10.6456,275.7083,0.1436,Author catalog breadth and attributed demand.
author_catalog_demand,author,Plato,7011,,author_value_rank,29.0,22,14,19,19,19,16,3,170.06,8.9505,342.6667,0.1433,Author catalog breadth and attributed demand.
author_catalog_demand,author,Clive Cussler,1453,,author_value_rank,30.0,24,13,16,16,16,13,3,168.96,10.56,479.1481,0.1424,Author catalog breadth and attributed demand.
author_catalog_demand,author,Neil Gaiman,6414,,author_value_rank,31.0,33,16,20,20,20,19,4,168.82,8.441,256.6757,0.1423,Author catalog breadth and attributed demand.
author_catalog_demand,author,Kahlil Gibran,4723,,author_value_rank,32.0,11,8,13,13,13,10,3,168.78,12.9831,205.4375,0.1423,Author catalog breadth and attributed demand.
author_catalog_demand,author,Philippa Gregory,6980,,author_value_rank,33.0,13,9,15,15,15,4,2,167.54,11.1693,522.5263,0.1412,Author catalog breadth and attributed demand.
author_catalog_demand,author,Terry Pratchett,8528,,author_value_rank,34.0,34,16,20,20,20,21,4,166.63,8.3315,322.1316,0.1404,Author catalog breadth and attributed demand.
author_catalog_demand,author,Chuck Palahniuk,1406,,author_value_rank,35.0,13,8,13,13,13,11,4,165.69,12.7454,301.5556,0.1396,Author catalog breadth and attributed demand.
author_catalog_demand,author,Gabriel García Márquez,2798,,author_value_rank,36.0,22,11,17,17,17,11,4,164.42,9.6718,209.1429,0.1386,Author catalog breadth and attributed demand.
author_catalog_demand,author,Aldous Huxley,149,,author_value_rank,37.0,14,11,17,17,16,9,3,162.18,9.54,328.85,0.1367,Author catalog breadth and attributed demand.
author_catalog_demand,author,Francine Pascal,2673,,author_value_rank,38.0,26,16,18,18,18,6,3,158.92,8.8289,190.0,0.1339,Author catalog breadth and attributed demand.
author_catalog_demand,author,Dave Eggers,1662,,author_value_rank,39.0,21,11,16,16,16,10,5,158.36,9.8975,336.8462,0.1335,Author catalog breadth and attributed demand.
author_catalog_demand,author,Robert A. Heinlein,7416,,author_value_rank,40.0,12,5,13,13,13,7,2,157.96,12.1508,318.2,0.1331,Author catalog breadth and attributed demand.
author_catalog_demand,author,Georg Wilhelm Friedrich Hegel,2901,,author_value_rank,41.0,12,8,13,13,13,12,4,155.8,11.9846,330.8235,0.1313,Author catalog breadth and attributed demand.
author_catalog_demand,author,Dan Simmons,1589,,author_value_rank,42.0,27,10,18,18,18,18,5,154.23,8.5683,608.8,0.13,Author catalog breadth and attributed demand.
author_catalog_demand,author,John Grisham,4324,,author_value_rank,43.0,18,10,14,14,14,8,2,150.9,10.7786,305.2727,0.1272,Author catalog breadth and attributed demand.
author_catalog_demand,author,Janet Evanovich,3855,,author_value_rank,44.0,21,10,13,13,13,9,2,149.5,11.5,337.8333,0.126,Author catalog breadth and attributed demand.
author_catalog_demand,author,Maeve Binchy,5479,,author_value_rank,45.0,18,8,11,11,11,13,4,148.15,13.4682,473.5714,0.1249,Author catalog breadth and attributed demand.
author_catalog_demand,author,Laura Ingalls Wilder,5083,,author_value_rank,46.0,24,9,15,15,15,9,1,146.46,9.764,130.1,0.1234,Author catalog breadth and attributed demand.
author_catalog_demand,author,Hiromu Arakawa,3352,,author_value_rank,47.0,27,14,18,18,18,3,3,143.98,7.9989,189.0323,0.1214,Author catalog breadth and attributed demand.
author_catalog_demand,author,Dean Koontz,1898,,author_value_rank,48.0,31,10,14,14,14,9,2,143.62,10.2586,415.5429,0.121,Author catalog breadth and attributed demand.
author_catalog_demand,author,Marian Keyes,5621,,author_value_rank,49.0,19,8,14,14,14,14,6,142.87,10.205,493.2,0.1204,Author catalog breadth and attributed demand.
author_catalog_demand,author,Isaac Asimov,3501,,author_value_rank,50.0,22,9,14,14,14,15,2,142.73,10.195,399.9259,0.1203,Author catalog breadth and attributed demand.
author_catalog_demand,author,William Goldman,9057,,author_value_rank,51.0,11,7,10,10,10,10,3,142.04,14.204,377.2143,0.1197,Author catalog breadth and attributed demand.
author_catalog_demand,author,Mark Twain,5749,,author_value_rank,52.0,24,11,15,15,15,19,3,140.84,9.3893,525.2857,0.1187,Author catalog breadth and attributed demand.
author_catalog_demand,author,Ray Bradbury,7137,,author_value_rank,53.0,16,10,13,13,13,12,2,140.77,10.8285,302.2632,0.1186,Author catalog breadth and attributed demand.
author_catalog_demand,author,Ernest Hemingway,2555,,author_value_rank,54.0,13,8,11,11,11,8,2,137.88,12.5345,291.125,0.1162,Author catalog breadth and attributed demand.
author_catalog_demand,author,SparkNotes,8128,,author_value_rank,55.0,11,8,13,13,13,3,1,136.29,10.4838,110.1875,0.1149,Author catalog breadth and attributed demand.
author_catalog_demand,author,Marcel Proust,5536,,author_value_rank,56.0,15,9,17,17,17,12,3,135.1,7.9471,733.3043,0.1139,Author catalog breadth and attributed demand.
author_catalog_demand,author,Christopher Hitchens,1375,,author_value_rank,57.0,19,11,18,18,18,12,3,133.92,7.44,351.5,0.1129,Author catalog breadth and attributed demand.
author_catalog_demand,author,William Sleator,9116,,author_value_rank,58.0,13,10,14,14,14,7,2,132.79,9.485,158.7059,0.1119,Author catalog breadth and attributed demand.
author_catalog_demand,author,Jodi Picoult,4166,,author_value_rank,59.0,16,8,11,11,11,10,3,130.58,11.8709,422.5263,0.1101,Author catalog breadth and attributed demand.
author_catalog_demand,author,Jack Vance,3611,,author_value_rank,60.0,17,7,10,10,10,12,3,128.14,12.814,319.7,0.108,Author catalog breadth and attributed demand.
author_catalog_demand,author,Jennifer Crusie,3994,,author_value_rank,61.0,11,7,11,11,11,7,3,127.84,11.6218,352.7333,0.1077,Author catalog breadth and attributed demand.
author_catalog_demand,author,Dante Alighieri,1635,,author_value_rank,62.0,15,8,13,13,13,7,4,127.17,9.7823,456.1,0.1072,Author catalog breadth and attributed demand.
author_catalog_demand,author,John Irving,4341,,author_value_rank,63.0,13,7,10,10,10,8,4,126.99,12.699,415.4375,0.107,Author catalog breadth and attributed demand.
author_catalog_demand,author,Peter Straub,6916,,author_value_rank,64.0,9,7,10,10,10,7,3,126.76,12.676,587.5833,0.1068,Author catalog breadth and attributed demand.
author_catalog_demand,author,Roddy Doyle,7627,,author_value_rank,65.0,13,8,11,11,11,11,4,125.83,11.4391,283.5,0.1061,Author catalog breadth and attributed demand.
author_catalog_demand,author,Raymond E. Feist,7146,,author_value_rank,66.0,12,8,13,13,13,12,3,125.67,9.6669,409.8235,0.1059,Author catalog breadth and attributed demand.
author_catalog_demand,author,Umberto Eco,8793,,author_value_rank,67.0,17,10,12,12,12,14,4,125.66,10.4717,373.2632,0.1059,Author catalog breadth and attributed demand.
author_catalog_demand,author,Emma Donoghue,2470,,author_value_rank,68.0,13,8,12,12,12,10,2,124.46,10.3717,333.8824,0.1049,Author catalog breadth and attributed demand.
author_catalog_demand,author,Stephen Jay Gould,8219,,author_value_rank,69.0,12,6,13,13,13,10,2,123.54,9.5031,406.8421,0.1041,Author catalog breadth and attributed demand.
