evidence_block,grain,item,item_2,item_3,rank_label,rank_value,catalog_book_count,sold_book_count,line_count,order_count,customer_count,total_price,avg_price,secondary_value,share_pct,notes
era_destination_mix,era_destination,1980_1999,China,,country_rank_within_era,1.0,,319,341,341,218,3334.8,9.7795,,16.1222,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,Indonesia,,country_rank_within_era,2.0,,243,254,254,160,2529.46,9.9585,,12.2288,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,Russia,,country_rank_within_era,3.0,,140,146,146,90,1322.72,9.0597,,6.3947,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,Philippines,,country_rank_within_era,4.0,,92,93,93,51,948.2,10.1957,,4.5841,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,Brazil,,country_rank_within_era,5.0,,91,91,91,57,887.58,9.7536,,4.291,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,Poland,,country_rank_within_era,6.0,,90,91,91,59,879.25,9.6621,,4.2508,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,United States of America,,country_rank_within_era,7.0,,71,72,72,49,725.9,10.0819,,3.5094,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,Portugal,,country_rank_within_era,8.0,,76,77,77,45,706.32,9.173,,3.4147,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,France,,country_rank_within_era,9.0,,61,61,61,42,623.04,10.2138,,3.0121,Destination-country mix within publication eras.
era_destination_mix,era_destination,1980_1999,Peru,,country_rank_within_era,10.0,,63,63,63,38,608.78,9.6632,,2.9432,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,China,,country_rank_within_era,1.0,,761,803,803,321,8199.74,10.2114,,15.5804,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,Indonesia,,country_rank_within_era,2.0,,672,710,710,269,6980.48,9.8317,,13.2637,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,Russia,,country_rank_within_era,3.0,,333,340,340,135,3267.44,9.6101,,6.2085,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,Brazil,,country_rank_within_era,4.0,,230,234,234,90,2398.8,10.2513,,4.558,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,Philippines,,country_rank_within_era,5.0,,227,232,232,88,2362.09,10.1814,,4.4882,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,Poland,,country_rank_within_era,6.0,,222,227,227,80,2353.73,10.3689,,4.4723,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,Peru,,country_rank_within_era,7.0,,180,182,182,64,1917.64,10.5365,,3.6437,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,Portugal,,country_rank_within_era,8.0,,171,173,173,82,1706.1,9.8618,,3.2418,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,United States of America,,country_rank_within_era,9.0,,143,145,145,72,1413.13,9.7457,,2.6851,Destination-country mix within publication eras.
era_destination_mix,era_destination,2000_plus,France,,country_rank_within_era,10.0,,142,143,143,54,1353.95,9.4682,,2.5727,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Indonesia,,country_rank_within_era,1.0,,31,31,31,30,290.22,9.3619,,13.5799,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,China,,country_rank_within_era,2.0,,32,32,32,30,268.16,8.38,,12.5477,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Russia,,country_rank_within_era,3.0,,24,24,24,22,230.73,9.6138,,10.7963,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Colombia,,country_rank_within_era,4.0,,8,8,8,7,97.96,12.245,,4.5837,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Brazil,,country_rank_within_era,5.0,,8,8,8,7,95.46,11.9325,,4.4667,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Philippines,,country_rank_within_era,6.0,,9,9,9,9,94.88,10.5422,,4.4396,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Guatemala,,country_rank_within_era,7.0,,6,6,6,6,93.19,15.5317,,4.3605,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Portugal,,country_rank_within_era,8.0,,9,9,9,9,80.27,8.9189,,3.756,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Poland,,country_rank_within_era,9.0,,6,6,6,6,67.04,11.1733,,3.1369,Destination-country mix within publication eras.
era_destination_mix,era_destination,pre_1980,Peru,,country_rank_within_era,10.0,,7,7,7,5,61.73,8.8186,,2.8885,Destination-country mix within publication eras.
era_language_mix,era_language,1980_1999,English,,language_rank_within_era,1.0,2583,1226,1726,1726,,17104.52,9.9099,,82.6924,Language mix within publication eras.
era_language_mix,era_language,1980_1999,United States English,,language_rank_within_era,2.0,345,182,253,253,,2422.55,9.5753,,11.7119,Language mix within publication eras.
era_language_mix,era_language,1980_1999,British English,,language_rank_within_era,3.0,51,32,48,48,,529.52,11.0317,,2.56,Language mix within publication eras.
era_language_mix,era_language,1980_1999,German,,language_rank_within_era,4.0,28,16,19,19,,193.74,10.1968,,0.9366,Language mix within publication eras.
era_language_mix,era_language,1980_1999,French,,language_rank_within_era,5.0,44,11,16,16,,189.06,11.8163,,0.914,Language mix within publication eras.
era_language_mix,era_language,1980_1999,Spanish,,language_rank_within_era,6.0,18,7,9,9,,83.0,9.2222,,0.4013,Language mix within publication eras.
era_language_mix,era_language,1980_1999,Japanese,,language_rank_within_era,7.0,8,3,3,3,,40.52,13.5067,,0.1959,Language mix within publication eras.
era_language_mix,era_language,1980_1999,Multiple Languages,,language_rank_within_era,8.0,9,5,5,5,,39.56,7.912,,0.1913,Language mix within publication eras.
era_language_mix,era_language,2000_plus,English,,language_rank_within_era,1.0,6072,2993,4091,4091,,40872.92,9.9909,,77.663,Language mix within publication eras.
era_language_mix,era_language,2000_plus,United States English,,language_rank_within_era,2.0,1019,525,721,721,,7418.47,10.2891,,14.0959,Language mix within publication eras.
era_language_mix,era_language,2000_plus,Spanish,,language_rank_within_era,3.0,198,100,137,137,,1321.22,9.6439,,2.5105,Language mix within publication eras.
era_language_mix,era_language,2000_plus,British English,,language_rank_within_era,4.0,156,82,122,122,,1205.4,9.8803,,2.2904,Language mix within publication eras.
era_language_mix,era_language,2000_plus,French,,language_rank_within_era,5.0,94,47,68,68,,634.95,9.3375,,1.2065,Language mix within publication eras.
era_language_mix,era_language,2000_plus,German,,language_rank_within_era,6.0,68,32,43,43,,456.33,10.6123,,0.8671,Language mix within publication eras.
era_language_mix,era_language,2000_plus,Japanese,,language_rank_within_era,7.0,38,16,26,26,,253.38,9.7454,,0.4814,Language mix within publication eras.
era_language_mix,era_language,2000_plus,Portuguese,,language_rank_within_era,8.0,9,6,9,9,,104.79,11.6433,,0.1991,Language mix within publication eras.
era_language_mix,era_language,pre_1980,English,,language_rank_within_era,1.0,256,123,176,176,,1726.67,9.8106,,80.7939,Language mix within publication eras.
era_language_mix,era_language,pre_1980,United States English,,language_rank_within_era,2.0,45,19,26,26,,253.83,9.7627,,11.8771,Language mix within publication eras.
era_language_mix,era_language,pre_1980,British English,,language_rank_within_era,3.0,7,4,5,5,,61.96,12.392,,2.8992,Language mix within publication eras.
era_language_mix,era_language,pre_1980,Multiple Languages,,language_rank_within_era,4.0,5,2,2,2,,36.16,18.08,,1.692,Language mix within publication eras.
era_language_mix,era_language,pre_1980,French,,language_rank_within_era,5.0,6,4,4,4,,25.29,6.3225,,1.1834,Language mix within publication eras.
era_language_mix,era_language,pre_1980,German,,language_rank_within_era,6.0,3,1,1,1,,17.42,17.42,,0.8151,Language mix within publication eras.
era_language_mix,era_language,pre_1980,Greek,,language_rank_within_era,7.0,3,1,1,1,,15.8,15.8,,0.7393,Language mix within publication eras.
era_language_mix,era_language,pre_1980,Spanish,,language_rank_within_era,8.0,2,0,0,0,,0.0,,,0.0,Language mix within publication eras.
era_lifecycle_mix,era_lifecycle,1980_1999,incomplete_or_in_progress,,lifecycle_rank_within_era,1.0,,866,1020,1020,,9994.62,9.7986,,48.874,Lifecycle outcomes within publication eras.
era_lifecycle_mix,era_lifecycle,1980_1999,delivered_path,,lifecycle_rank_within_era,2.0,,788,923,923,,9264.92,10.0378,,44.2262,Lifecycle outcomes within publication eras.
era_lifecycle_mix,era_lifecycle,1980_1999,cancelled_path,,lifecycle_rank_within_era,3.0,,84,87,87,,883.45,10.1546,,4.1687,Lifecycle outcomes within publication eras.
era_lifecycle_mix,era_lifecycle,1980_1999,returned_path,,lifecycle_rank_within_era,4.0,,56,56,56,,539.11,9.627,,2.6833,Lifecycle outcomes within publication eras.
era_lifecycle_mix,era_lifecycle,1980_1999,no_history,,lifecycle_rank_within_era,5.0,,1,1,1,,2.42,2.42,,0.0479,Lifecycle outcomes within publication eras.
era_lifecycle_mix,era_lifecycle,1980_1999,no_observed_order,,lifecycle_rank_within_era,6.0,,1610,0,0,,0.0,,,0.0,Lifecycle outcomes within publication eras.
era_lifecycle_mix,era_lifecycle,2000_plus,incomplete_or_in_progress,,lifecycle_rank_within_era,1.0,,2216,2610,2610,,25965.31,9.9484,,49.7332,Lifecycle outcomes within publication eras.
era_lifecycle_mix,era_lifecycle,2000_plus,delivered_path,,lifecycle_rank_within_era,2.0,,1985,2292,2292,,23154.13,10.1022,,43.6738,Lifecycle outcomes within publication eras.
