evidence_block,grain,item,item_2,item_3,rank_label,rank_value,customer_count,order_count,line_count,book_count,total_price,avg_order_value,secondary_value,delivered_orders,cancelled_orders,returned_orders,share_pct,notes
address_status_country_mix,address_status_country,Active,China,,country_rank_within_address_status,1.0,334,972,972,972,9709.88,9.9896,,,,,14.6031,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Indonesia,,country_rank_within_address_status,2.0,263,893,893,893,8799.4,9.8538,,,,,13.2338,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Russia,,country_rank_within_address_status,3.0,141,456,456,456,4275.52,9.3761,,,,,6.4301,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Brazil,,country_rank_within_address_status,4.0,91,306,306,306,3115.02,10.1798,,,,,4.6848,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Philippines,,country_rank_within_address_status,5.0,93,303,303,303,3088.78,10.194,,,,,4.6454,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Poland,,country_rank_within_address_status,6.0,79,293,293,293,3046.03,10.396,,,,,4.5811,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Peru,,country_rank_within_address_status,7.0,65,230,230,230,2370.29,10.3056,,,,,3.5648,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Portugal,,country_rank_within_address_status,8.0,87,221,221,221,2103.07,9.5162,,,,,3.1629,Destination countries by address status.
address_status_country_mix,address_status_country,Active,United States of America,,country_rank_within_address_status,9.0,74,191,191,191,1889.42,9.8923,,,,,2.8416,Destination countries by address status.
address_status_country_mix,address_status_country,Active,France,,country_rank_within_address_status,10.0,58,175,175,175,1718.54,9.8202,,,,,2.5846,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Sweden,,country_rank_within_address_status,11.0,59,131,131,131,1400.47,10.6906,,,,,2.1062,Destination countries by address status.
address_status_country_mix,address_status_country,Active,Colombia,,country_rank_within_address_status,12.0,29,118,118,118,1257.84,10.6597,,,,,1.8917,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,China,,country_rank_within_address_status,1.0,60,204,204,204,2092.82,10.2589,,,,,23.3615,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Indonesia,,country_rank_within_address_status,2.0,42,102,102,102,1000.76,9.8114,,,,,11.1712,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Russia,,country_rank_within_address_status,3.0,17,54,54,54,545.37,10.0994,,,,,6.0878,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Portugal,,country_rank_within_address_status,4.0,12,38,38,38,389.62,10.2532,,,,,4.3492,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Philippines,,country_rank_within_address_status,5.0,7,31,31,31,316.39,10.2061,,,,,3.5318,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,France,,country_rank_within_address_status,6.0,12,34,34,34,301.26,8.8606,,,,,3.3629,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,United States of America,,country_rank_within_address_status,7.0,15,32,32,32,295.32,9.2288,,,,,3.2966,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Brazil,,country_rank_within_address_status,8.0,9,27,27,27,266.82,9.8822,,,,,2.9784,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Poland,,country_rank_within_address_status,9.0,13,31,31,31,253.99,8.1932,,,,,2.8352,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Peru,,country_rank_within_address_status,10.0,6,22,22,22,217.86,9.9027,,,,,2.4319,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Canada,,country_rank_within_address_status,11.0,3,17,17,17,200.17,11.7747,,,,,2.2344,Destination countries by address status.
address_status_country_mix,address_status_country,Inactive,Sweden,,country_rank_within_address_status,12.0,7,17,17,17,198.19,11.6582,,,,,2.2123,Destination countries by address status.
address_status_lifecycle_mix,address_status_lifecycle,Active,incomplete_or_in_progress,,lifecycle_rank_within_address_status,1.0,1336,3292,3292,3292,32575.4,9.8953,,,,,49.4294,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Active,delivered_path,,lifecycle_rank_within_address_status,2.0,1251,2928,2928,2928,29491.24,10.0721,,,,,43.964,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Active,cancelled_path,,lifecycle_rank_within_address_status,3.0,237,264,264,264,2642.63,10.01,,,,,3.964,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Active,returned_path,,lifecycle_rank_within_address_status,4.0,165,174,174,174,1770.85,10.1773,,,,,2.6126,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Active,no_history,,lifecycle_rank_within_address_status,5.0,2,2,2,2,11.68,5.84,,,,,0.03,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Inactive,incomplete_or_in_progress,,lifecycle_rank_within_address_status,1.0,221,456,456,456,4608.55,10.1065,,,,,51.236,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Inactive,delivered_path,,lifecycle_rank_within_address_status,2.0,194,372,372,372,3727.15,10.0192,,,,,41.7978,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Inactive,cancelled_path,,lifecycle_rank_within_address_status,3.0,36,36,36,36,375.44,10.4289,,,,,4.0449,Lifecycle outcomes by destination address status.
address_status_lifecycle_mix,address_status_lifecycle,Inactive,returned_path,,lifecycle_rank_within_address_status,4.0,25,26,26,26,247.28,9.5108,,,,,2.9213,Lifecycle outcomes by destination address status.
address_status_shipping_mix,address_status_shipping,Active,Express,,shipping_rank_within_address_status,1.0,982,1693,1693,1693,16974.8,10.0265,11.9,,,,25.5292,Shipping methods by destination address status.
address_status_shipping_mix,address_status_shipping,Active,Priority,,shipping_rank_within_address_status,2.0,951,1689,1689,1689,16860.91,9.9828,8.9,,,,25.3579,Shipping methods by destination address status.
address_status_shipping_mix,address_status_shipping,Active,Standard,,shipping_rank_within_address_status,3.0,963,1643,1643,1643,16416.57,9.9918,5.9,,,,24.6896,Shipping methods by destination address status.
address_status_shipping_mix,address_status_shipping,Active,International,,shipping_rank_within_address_status,4.0,980,1635,1635,1635,16239.52,9.9324,24.5,,,,24.4233,Shipping methods by destination address status.
address_status_shipping_mix,address_status_shipping,Inactive,Priority,,shipping_rank_within_address_status,1.0,153,228,228,228,2383.7,10.4548,8.9,,,,26.6085,Shipping methods by destination address status.
address_status_shipping_mix,address_status_shipping,Inactive,Standard,,shipping_rank_within_address_status,2.0,153,228,228,228,2247.73,9.8585,5.9,,,,25.0907,Shipping methods by destination address status.
address_status_shipping_mix,address_status_shipping,Inactive,International,,shipping_rank_within_address_status,3.0,130,215,215,215,2173.43,10.109,24.5,,,,24.2613,Shipping methods by destination address status.
address_status_shipping_mix,address_status_shipping,Inactive,Express,,shipping_rank_within_address_status,4.0,143,219,219,219,2153.56,9.8336,11.9,,,,24.0395,Shipping methods by destination address status.
customer_saved_address_profile,customer_address_profile,mixed_active_inactive_saved_addresses,,,profile_value_rank,2.0,386,2425,,,24494.74,,2.7824,,,,32.4648,Customer saved-address profile compared with observed demand.
customer_saved_address_profile,customer_address_profile,multiple_active_saved_addresses,,,profile_value_rank,1.0,597,2839,,,28416.63,,2.1089,,,,37.6628,Customer saved-address profile compared with observed demand.
customer_saved_address_profile,customer_address_profile,one_active_saved_address,,,profile_value_rank,3.0,1017,2286,,,22538.85,,1.0,,,,29.8725,Customer saved-address profile compared with observed demand.
destination_address_status_baseline,destination_address_status,Active,,,address_status_value_rank,1.0,1654,6660,6660,6660,66491.8,9.9838,12.7523,3102,264,174,88.1267,"Demand by whether destination address is active, inactive, or unsaved for the customer."
destination_address_status_baseline,destination_address_status,Inactive,,,address_status_value_rank,2.0,292,890,890,890,8958.42,10.0656,12.6382,398,36,26,11.8733,"Demand by whether destination address is active, inactive, or unsaved for the customer."
order_address_match_profile,address_match_bucket,saved_for_customer,,,match_value_rank,1.0,1697,7550,7550,7550,75450.22,9.9934,12.7388,,,,100.0,Saved-versus-unsaved destination address usage.
top_status_city_destinations,address_status_city,Active,Brazil,Trairi,city_rank_within_address_status,1.0,8,68,,,789.02,11.6032,,,,,1.1866,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,Guatemala,Patulul,city_rank_within_address_status,2.0,8,56,,,643.02,11.4825,,,,,0.9671,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,Pakistan,Doāba,city_rank_within_address_status,3.0,9,63,,,605.86,9.6168,,,,,0.9112,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,Ecuador,Cayambe,city_rank_within_address_status,4.0,6,54,,,578.17,10.7069,,,,,0.8695,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,Poland,Turze Pole,city_rank_within_address_status,5.0,6,48,,,523.0,10.8958,,,,,0.7866,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,Russia,Moshenskoye,city_rank_within_address_status,6.0,5,40,,,459.94,11.4985,,,,,0.6917,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,China,Shangde,city_rank_within_address_status,7.0,5,45,,,455.47,10.1216,,,,,0.685,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,Philippines,Burirao,city_rank_within_address_status,8.0,5,45,,,433.95,9.6433,,,,,0.6526,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,China,Wujing,city_rank_within_address_status,9.0,5,35,,,413.46,11.8131,,,,,0.6218,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Active,Peru,Chingas,city_rank_within_address_status,10.0,5,40,,,408.53,10.2132,,,,,0.6144,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,Portugal,Castelo de Vide,city_rank_within_address_status,1.0,2,18,,,179.92,9.9956,,,,,2.0084,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,Ireland,Killorglin,city_rank_within_address_status,2.0,2,14,,,178.4,12.7429,,,,,1.9914,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,China,Wujing,city_rank_within_address_status,3.0,2,14,,,144.21,10.3007,,,,,1.6098,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,China,Xingnong,city_rank_within_address_status,4.0,2,14,,,134.0,9.5714,,,,,1.4958,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,China,Nirji,city_rank_within_address_status,5.0,1,9,,,132.66,14.74,,,,,1.4808,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,China,Shangde,city_rank_within_address_status,6.0,1,9,,,127.5,14.1667,,,,,1.4232,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,Ecuador,Cayambe,city_rank_within_address_status,7.0,1,9,,,113.7,12.6333,,,,,1.2692,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,Philippines,Burirao,city_rank_within_address_status,8.0,1,9,,,110.03,12.2256,,,,,1.2282,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,Poland,Wińsko,city_rank_within_address_status,9.0,2,14,,,109.66,7.8329,,,,,1.2241,Top city-country destinations within each address-status bucket.
top_status_city_destinations,address_status_city,Inactive,Haiti,Miragoâne,city_rank_within_address_status,10.0,1,8,,,105.76,13.22,,,,,1.1806,Top city-country destinations within each address-status bucket.
