evidence_block,grain,item,item_2,item_3,rank_label,rank_value,catalog_book_count,sold_book_count,line_count,order_count,customer_count,total_price,avg_price,secondary_value,share_pct,notes
author_complexity_profile,author_complexity,single_author_title,,,author_complexity_value_rank,1.0,6028,2994,4152,4152,4151,42287.09,10.2388,,56.0463,Title demand by number of linked authors.
author_complexity_profile,author_complexity,small_team_title,,,author_complexity_value_rank,2.0,3528,1675,2286,2286,2285,22490.42,9.8633,,29.8083,Title demand by number of linked authors.
author_complexity_profile,author_complexity,no_author_link,,,author_complexity_value_rank,3.0,1069,540,743,743,743,7057.95,9.3053,,9.3544,Title demand by number of linked authors.
author_complexity_profile,author_complexity,large_team_title,,,author_complexity_value_rank,4.0,502,257,369,369,369,3614.76,9.7517,,4.7909,Title demand by number of linked authors.
customer_breadth_profile,customer_breadth,single_customer_reach,,,customer_breadth_value_rank,1.0,3825,3825,3827,3827,3825,38366.74,10.0253,,50.8504,Whether title demand comes from broad or narrow customer reach.
customer_breadth_profile,customer_breadth,some_repeat_or_multi_customer_reach,,,customer_breadth_value_rank,2.0,1637,1637,3703,3703,3703,36885.2,9.9698,,48.8868,Whether title demand comes from broad or narrow customer reach.
customer_breadth_profile,customer_breadth,broad_customer_reach,,,customer_breadth_value_rank,3.0,4,4,20,20,20,198.28,9.914,,0.2628,Whether title demand comes from broad or narrow customer reach.
customer_breadth_profile,customer_breadth,no_observed_customer,,,customer_breadth_value_rank,4.0,5661,0,0,0,0,0.0,,,0.0,Whether title demand comes from broad or narrow customer reach.
metadata_demand_profile,metadata_profile,English,2000_plus,mid_length_book,metadata_value_rank,1.0,2928,1437,1966,1966,1966,19680.24,10.0491,,26.0837,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,2000_plus,short_book,metadata_value_rank,2.0,1541,739,1033,1033,1032,10406.93,10.0651,,13.7931,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,2000_plus,long_book,metadata_value_rank,3.0,1266,637,846,846,845,8520.17,10.0783,,11.2924,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,1980_1999,mid_length_book,metadata_value_rank,4.0,1120,544,760,760,760,7734.11,10.1041,,10.2506,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,1980_1999,short_book,metadata_value_rank,5.0,676,310,439,439,439,4235.1,9.5821,,5.6131,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,1980_1999,long_book,metadata_value_rank,6.0,571,262,362,362,362,3475.35,9.6154,,4.6061,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,2000_plus,mid_length_book,metadata_value_rank,7.0,469,234,328,328,328,3395.77,10.5401,,4.5007,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,2000_plus,very_long_book,metadata_value_rank,8.0,337,180,246,246,246,2265.58,9.2512,,3.0027,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,2000_plus,short_book,metadata_value_rank,9.0,258,137,186,186,186,1833.68,10.0971,,2.4303,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,2000_plus,long_book,metadata_value_rank,10.0,232,126,165,165,165,1750.2,10.4991,,2.3197,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,1980_1999,very_long_book,metadata_value_rank,11.0,216,110,165,165,165,1659.96,10.0934,,2.2001,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,1980_1999,mid_length_book,metadata_value_rank,12.0,167,94,135,135,135,1280.95,9.3026,,1.6977,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,pre_1980,mid_length_book,metadata_value_rank,13.0,98,50,68,68,68,680.85,10.412,,0.9024,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,pre_1980,short_book,metadata_value_rank,14.0,93,43,67,67,67,608.25,9.0518,,0.8062,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,1980_1999,long_book,metadata_value_rank,15.0,74,41,61,61,61,593.17,10.0086,,0.7862,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,Spanish,2000_plus,mid_length_book,metadata_value_rank,16.0,69,39,58,58,58,537.65,9.0265,,0.7126,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,British English,2000_plus,short_book,metadata_value_rank,17.0,45,23,39,39,39,471.35,13.0717,,0.6247,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,Spanish,2000_plus,long_book,metadata_value_rank,18.0,75,36,48,48,48,461.24,9.614,,0.6113,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,1980_1999,short_book,metadata_value_rank,19.0,86,39,45,45,45,441.04,9.4712,,0.5845,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,2000_plus,very_long_book,metadata_value_rank,20.0,60,28,42,42,42,438.82,10.2358,,0.5816,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,British English,2000_plus,mid_length_book,metadata_value_rank,21.0,76,38,45,45,45,368.19,8.1649,,0.488,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,pre_1980,long_book,metadata_value_rank,22.0,54,25,33,33,33,359.51,11.1326,,0.4765,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,British English,2000_plus,long_book,metadata_value_rank,23.0,29,17,31,31,31,293.99,9.6105,,0.3896,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,Japanese,2000_plus,short_book,metadata_value_rank,24.0,32,15,25,25,25,246.6,9.7526,,0.3268,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,Spanish,2000_plus,short_book,metadata_value_rank,25.0,43,19,24,24,24,245.59,9.8703,,0.3255,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,British English,1980_1999,mid_length_book,metadata_value_rank,26.0,21,14,20,20,20,234.91,11.583,,0.3113,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,French,2000_plus,long_book,metadata_value_rank,27.0,24,11,20,20,20,217.48,11.6456,,0.2882,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,German,2000_plus,mid_length_book,metadata_value_rank,28.0,30,12,18,18,18,182.63,9.7381,,0.2421,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,French,2000_plus,mid_length_book,metadata_value_rank,29.0,36,17,20,20,20,179.46,9.5771,,0.2379,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,British English,1980_1999,long_book,metadata_value_rank,30.0,18,11,17,17,17,179.26,10.1781,,0.2376,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,French,2000_plus,short_book,metadata_value_rank,31.0,26,16,21,21,21,170.92,8.0394,,0.2265,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,German,2000_plus,long_book,metadata_value_rank,32.0,24,12,13,13,13,163.75,12.5304,,0.217,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,1980_1999,very_long_book,metadata_value_rank,33.0,18,8,12,12,12,107.39,10.8772,,0.1423,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,German,1980_1999,short_book,metadata_value_rank,34.0,12,6,8,8,8,91.03,10.9325,,0.1206,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,British English,1980_1999,short_book,metadata_value_rank,35.0,9,4,8,8,8,86.04,10.6983,,0.114,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,pre_1980,mid_length_book,metadata_value_rank,36.0,19,7,8,8,8,84.78,9.855,,0.1124,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,United States English,pre_1980,short_book,metadata_value_rank,37.0,13,6,9,9,9,80.41,8.5233,,0.1066,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,English,pre_1980,very_long_book,metadata_value_rank,38.0,11,5,8,8,8,78.06,10.671,,0.1035,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,Spanish,2000_plus,very_long_book,metadata_value_rank,39.0,11,6,7,7,7,76.74,10.8475,,0.1017,"Language, publication-era, and page-band context for title demand."
metadata_demand_profile,metadata_profile,British English,2000_plus,very_long_book,metadata_value_rank,40.0,6,4,7,7,7,71.87,10.6375,,0.0953,"Language, publication-era, and page-band context for title demand."
title_country_mix,title_country,200 Quilt Blocks: To Mix and Match,China,,country_rank_within_title,1.0,,,1,1,1,17.51,17.51,,40.9591,Destination-country mix for top observed titles.
title_country_mix,title_country,"A Higher Justice (The Trials of Kit Shannon #5)",France,,country_rank_within_title,1.0,,,1,1,1,19.71,19.71,,34.2069,Destination-country mix for top observed titles.
title_country_mix,title_country,"A Pinch of Snuff (Dalziel & Pascoe  #5)",Poland,,country_rank_within_title,1.0,,,1,1,1,18.43,18.43,,40.17,Destination-country mix for top observed titles.
title_country_mix,title_country,Accordion Crimes,Russia,,country_rank_within_title,1.0,,,1,1,1,14.46,14.46,,35.3286,Destination-country mix for top observed titles.
title_country_mix,title_country,Aeneid: Selections from Books 1  2  4  6  10  12,Indonesia,,country_rank_within_title,1.0,,,1,1,1,19.98,19.98,,51.3493,Destination-country mix for top observed titles.
title_country_mix,title_country,Anleitung zum Zickigsein,Indonesia,,country_rank_within_title,1.0,,,1,1,1,18.09,18.09,,38.6704,Destination-country mix for top observed titles.
title_country_mix,title_country,Are We There Yet?,Madagascar,,country_rank_within_title,1.0,,,1,1,1,18.75,18.75,,45.2134,Destination-country mix for top observed titles.
title_country_mix,title_country,"Betsy and Tacy Go Downtown (Betsy-Tacy  #4)",Netherlands,,country_rank_within_title,1.0,,,1,1,1,19.5,19.5,,45.8824,Destination-country mix for top observed titles.
title_country_mix,title_country,Black Widow: Homecoming,Georgia,,country_rank_within_title,1.0,,,1,1,1,16.16,16.16,,35.184,Destination-country mix for top observed titles.
title_country_mix,title_country,Camera Lucida: Reflections on Photography,Philippines,,country_rank_within_title,1.0,,,2,2,2,33.23,16.615,,75.3173,Destination-country mix for top observed titles.
title_country_mix,title_country,Celebrations: Rituals of Peace and Prayer,China,,country_rank_within_title,1.0,,,1,1,1,18.45,18.45,,39.339,Destination-country mix for top observed titles.
title_country_mix,title_country,"Cities of the Plain (The Border Trilogy  #3)",Russia,,country_rank_within_title,1.0,,,3,3,3,34.23,11.41,,57.1166,Destination-country mix for top observed titles.
title_country_mix,title_country,Close Range,Brazil,,country_rank_within_title,1.0,,,1,1,1,19.1,19.1,,41.2973,Destination-country mix for top observed titles.
title_country_mix,title_country,Crime and Punishment,Portugal,,country_rank_within_title,1.0,,,1,1,1,16.15,16.15,,39.1231,Destination-country mix for top observed titles.
title_country_mix,title_country,Daniel Deronda,China,,country_rank_within_title,1.0,,,1,1,1,17.8,17.8,,41.7057,Destination-country mix for top observed titles.
title_country_mix,title_country,Different Seasons,China,,country_rank_within_title,1.0,,,2,2,2,33.61,16.805,,53.468,Destination-country mix for top observed titles.
title_country_mix,title_country,Dostoevsky,South Africa,,country_rank_within_title,1.0,,,1,1,1,15.75,15.75,,34.9147,Destination-country mix for top observed titles.
title_country_mix,title_country,Error humano,South Africa,,country_rank_within_title,1.0,,,1,1,1,17.15,17.15,,37.2179,Destination-country mix for top observed titles.
title_country_mix,title_country,Falling Angel,Russia,,country_rank_within_title,1.0,,,1,1,1,17.56,17.56,,41.2594,Destination-country mix for top observed titles.
title_country_mix,title_country,Fantastic Mr Fox,Ukraine,,country_rank_within_title,1.0,,,1,1,1,19.39,19.39,,49.3887,Destination-country mix for top observed titles.
title_country_mix,title_country,"Flight of the Nighthawks (The Darkwar Saga  #1)",Poland,,country_rank_within_title,1.0,,,2,2,2,33.83,16.915,,71.0416,Destination-country mix for top observed titles.
title_country_mix,title_country,Full House: The Spread of Excellence from Plato to Darwin,China,,country_rank_within_title,1.0,,,1,1,1,16.45,16.45,,31.5921,Destination-country mix for top observed titles.
title_country_mix,title_country,"Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5)",Slovenia,,country_rank_within_title,1.0,,,1,1,1,19.32,19.32,,50.2601,Destination-country mix for top observed titles.
title_country_mix,title_country,Galápagos,Bhutan,,country_rank_within_title,1.0,,,1,1,1,18.22,18.22,,47.5222,Destination-country mix for top observed titles.
title_country_mix,title_country,Genetics and the Origin of Species,Germany,,country_rank_within_title,1.0,,,1,1,1,18.55,18.55,,45.6897,Destination-country mix for top observed titles.
title_country_mix,title_country,"Gilda Joyce: Psychic Investigator (Gilda Joyce  #1)",Indonesia,,country_rank_within_title,1.0,,,1,1,1,16.79,16.79,,42.017,Destination-country mix for top observed titles.
title_country_mix,title_country,"Happy Are the Peace Makers (Blackie Ryan  #5)",Indonesia,,country_rank_within_title,1.0,,,3,3,3,42.58,14.1933,,100.0,Destination-country mix for top observed titles.
title_country_mix,title_country,"Hard Eight (Stephanie Plum  #8)",Indonesia,,country_rank_within_title,1.0,,,1,1,1,18.59,18.59,,39.2691,Destination-country mix for top observed titles.
title_country_mix,title_country,"Hidden Leaves (De Beers  #5)",China,,country_rank_within_title,1.0,,,2,2,2,30.05,15.025,,71.4116,Destination-country mix for top observed titles.
title_country_mix,title_country,"How ""Natives"" Think: About Captain Cook  For Example",Indonesia,,country_rank_within_title,1.0,,,1,1,1,19.73,19.73,,48.4053,Destination-country mix for top observed titles.
title_country_mix,title_country,How to Travel with a Salmon and Other Essays,China,,country_rank_within_title,1.0,,,1,1,1,17.9,17.9,,43.3939,Destination-country mix for top observed titles.
title_country_mix,title_country,"Hyperion (Los Cantos de Hyperion  #1)",China,,country_rank_within_title,1.0,,,1,1,1,19.13,19.13,,49.3296,Destination-country mix for top observed titles.
title_country_mix,title_country,Identity,Poland,,country_rank_within_title,1.0,,,1,1,1,19.48,19.48,,27.6312,Destination-country mix for top observed titles.
title_country_mix,title_country,In Pharaoh's Army: Memories of the Lost War,Russia,,country_rank_within_title,1.0,,,1,1,1,19.0,19.0,,46.0718,Destination-country mix for top observed titles.
title_country_mix,title_country,"King Solomon's Mines (Allan Quatermain  #1)",Vietnam,,country_rank_within_title,1.0,,,1,1,1,18.83,18.83,,45.8821,Destination-country mix for top observed titles.
